aalib 1.4rc5-19
libpaper 2.2.7-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libphonenumber 1:9.0.30-1
libpipeline 1.5.8-1
libpipewire 1:1.6.5-1
libplacebo 7.360.1-2
libplist 2.7.0-3
libpng 1.6.58-1
libportal 0.9.1-3
libportal-gtk4 0.9.1-3
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libpwquality 1.4.5-7
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.1.1+r12+g301eb08fa2c5-1
libraqm 0.10.5-1
libraw1394 2.1.2-4
librest 0.10.2-1
librsvg 2:2.62.2-1
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++-3.0 3.8.0-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup 2.74.3-4
libsoup3 3.6.6-2
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspeechd 0.12.1-3
libspelling 0.4.10-1
libsrtp 1:2.8.0-1
libssc 0.4.2-1
libssh 0.12.0-1
libssh2 1.11.1-1
libstdc++ 16.1.1+r12+g301eb08fa2c5-1
libstemmer 3.0.1-1
libsynctex 2026.0-1
libsysprof-capture 50.0-2
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.1-2
libtirpc 1.3.7-1
libtool 2.6.0+r23+gb08cb0a0-1
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.1.1+r12+g301eb08fa2c5-1
libubsan 16.1.1+r12+g301eb08fa2c5-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.14-1
libusb 1.0.29-1
libusbmuxd 2.1.1-2
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.23.0-1
libvdpau 1.5-4
libverto 0.3.2-6
libvirt 1:12.3.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.3.0-1
libvncserver 0.9.15-1
libvorbis 1.3.7-4
libvpl 2.16.0-2
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.18.0-2
libwbclient 2:4.24.2-1
libwebp 1.6.0-2
libwireplumber 0.5.14-1
libwnck3 43.3-1
libx11 1.8.13-1
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-1
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.6-1
libxkbcommon 1.13.1-1
libxkbcommon-x11 1.13.1-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.26-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxres 1.2.3-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
licenses 20240728-1
lilv 0.26.4-1
linux 7.0.8.arch1-1
linux-api-headers 6.19-1
linux-firmware 20260410-1
linux-firmware-amdgpu 20260410-1
linux-firmware-atheros 20260410-1
linux-firmware-broadcom 20260410-1
linux-firmware-cirrus 20260410-1
linux-firmware-intel 20260410-1
linux-firmware-mediatek 20260410-1
linux-firmware-nvidia 20260410-1
linux-firmware-other 20260410-1
linux-firmware-radeon 20260410-1
linux-firmware-realtek 20260410-1
linux-firmware-whence 20260410-1
llvm-libs 22.1.5-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
localsearch 3.11.1-1
loupe 50.0-1
lsof 4.99.6-1
lua 5.5.0-2
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1774896198+18b087c-1
lv2 1.18.10-2
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-1
man-pages 6.18-1
mdadm 4.6-2
mediawriter-debug 5.2.6-1
mesa 1:26.0.6-1
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mkinitcpio 41-3
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
mod_dnssd 0.6-10
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
multipath-tools 0.14.3-1
mutter 50.1-1
nano 9.0-1
nautilus 50.1-1
ncurses 6.6-2
ndctl 84-1
neofetch 7.1.0-2
neon 0.37.1-1
neovim 0.12.2-1
nettle 4.0-1
networkmanager 1.56.1-1
nftables 1:1.1.6-3
ngrok 3.22.0-1
node-gyp 12.3.0-1
nodejs 26.1.0-2
nodejs-nopt 10.0.0-1
noto-fonts 1:2026.05.01-1
noto-fonts-emoji 1:2.051-1
npm 11.14.1-1
npth 1.8-1
nspr 4.39-1
nss 3.124-1
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
obsidian 1.12.7-2
ocl-icd 2.3.4-1
openal 1.25.2-1
opencl-amd 1:6.3.2-1
opencore-amr 0.1.6-2
openexr 3.4.11-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.27.3-1
openssh 10.3p1-1
openssl 3.6.2-2
opus 1.6.1-1
orc 0.4.42-1
orca 50.1.2-1
os-prober 1.84-1
osinfo-db 20251212-1
ostree 2025.7-3
p11-kit 0.26.2-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260406-1
pam 1.7.2-2
pambase 20250719-1
pango 1:1.57.1-1
pangomm-2.48 2.56.1-1
parted 3.7-1
pass 1.7.4-7
patch 2.8-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.1-1
perl 5.42.2-1
perl-error 0.17030-3
perl-mailtools 2.22-3
perl-timedate 2.35-1
phodav 3.0-4
pinentry 1.3.2-2
pipewire 1:1.6.5-1
pipewire-audio 1:1.6.5-1
pipewire-pulse 1:1.6.5-1
pipewire-session-manager 1:1.6.5-1
pixman 0.46.4-1
pkgconf 2.5.1-1
polkit 127-3
poppler 26.05.0-1
poppler-data 0.4.12-2
poppler-glib 26.05.0-1
popt 1.19-2
portaudio 1:19.7.0-4
postman-bin 11.37.1-1
procps-ng 4.0.6-1
protobuf 34.1-1
protobuf-c 1.5.2-9
psmisc 23.7-2
pulse-native-provider 1:1.6.5-1
python 3.14.5-1
python-argcomplete 3.6.3-1
python-attrs 26.1.0-1
python-brltty 6.9.1-1
python-cairo 1.29.0-2
python-certifi 2026.04.22-1
python-cffi 2.0.0-2
python-charset-normalizer 3.4.7-1
python-click 8.3.3-1
python-cryptography 48.0.0-1
python-dasbus 1.7-5
python-dbus 1.4.0-2
python-defusedxml 0.7.1-8
python-distro 1.9.0-4
python-filelock 3.29.0-1
python-gobject 3.56.3-1
python-idna 3.15-1
python-packaging 26.2-1
python-pip 26.1.1-1
python-pipx 1.12.0-1
python-platformdirs 4.9.6-1
python-psutil 7.2.2-1
python-pycparser 3.00-1
python-pyxdg 0.28-7
python-requests 2.34.2-1
python-setproctitle 1.3.7-2
python-systemd 235-5
python-typing_extensions 4.15.0-3
python-urllib3 2.7.0-1
python-userpath 1.9.2-4
python-wheel 0.47.0-1
qemu-audio-alsa 11.0.0-1
qemu-audio-dbus 11.0.0-1
qemu-audio-jack 11.0.0-1
qemu-audio-oss 11.0.0-1
qemu-audio-pa 11.0.0-1
qemu-audio-pipewire 11.0.0-1
qemu-audio-sdl 11.0.0-1
qemu-audio-spice 11.0.0-1
qemu-base 11.0.0-1
